cluster,Latitude,Longitude,* Damage,radius,miles,color
23,36.479696782013825,-121.65849849013394,0.8895265423242468,0.12030421336793098,3.6091264010379294,#FF2400
24,37.12313221194394,-122.16471971881919,0.9911230388109001,0.07110867110335663,2.133260133100699,#FF2400
25,33.72078429349487,-117.66073412707489,0.3841059602649007,0.13022786852125434,3.9068360556376303,#FA8072
26,39.9913334818861,-120.16096883754392,1.1579778830963665,0.09369840762853139,2.8109522288559416,#FF2400
27,34.20461727124091,-118.93391966280228,1.7716039666299386,0.27004431040874344,8.101329312262303,#BF0A30
28,40.178559683022755,-122.26818765514737,2.5714285714285716,0.017210010694174233,0.516300320825227,#7C0A02
29,41.84939988150657,-122.78727503296518,1.8545816733067728,0.1463042539208737,4.389127617626211,#BF0A30
30,38.21978824547482,-120.56719594835612,2.6131907308377897,0.12264700221107191,3.6794100663321574,#7C0A02
31,38.21362240172716,-121.03977197677058,1.4444444444444444,0.11803308729582834,3.54099261887485,#FF2400
32,39.00778873496881,-120.77575198253908,0.4102941176470588,0.07478717589734894,2.2436152769204685,#FA8072
33,38.41844564149164,-120.91080463284533,2.3333333333333335,0.01157322342838669,0.3471967028516007,#BF0A30
34,37.50270089249727,-119.93543886184182,0.978981406628941,0.12726533847715019,3.8179601543145054,#FF2400
35,34.49934273285151,-120.03010269794886,0.980544747081712,0.0944403431208484,2.8332102936254517,#FF2400
36,34.08724239002685,-118.47319827356364,1.053030303030303,0.009068305367070558,0.27204916101211674,#FF2400
37,33.101323392877546,-117.13716879438915,3.122448979591837,0.00970732222405011,0.2912196667215033,#7C0A02
38,35.73359181212087,-121.01860825997292,2.8607594936708862,0.03510210661685567,1.0530631985056702,#7C0A02
39,41.47958195117629,-122.36909351663509,2.0099431818181817,0.05878682867529994,1.7636048602589982,#BF0A30
40,37.50757312496272,-118.63638987897399,2.8983050847457625,0.01590523488262695,0.4771570464788085,#7C0A02
41,34.95325690777157,-120.23171627079873,2.8666666666666667,0.02046278429386521,0.6138835288159563,#7C0A02
42,37.75012003596979,-118.92255831138827,3.0,0.00230208716226404,0.0690626148679212,#7C0A02
43,37.112314153862734,-121.82099330488907,3.0344827586206895,0.013355486521923718,0.4006645956577115,#7C0A02
44,33.30375988053473,-117.18710952629073,2.6108597285067874,0.030671180106189914,0.9201354031856974,#7C0A02
45,39.077358599708475,-121.3418574722875,2.875,0.011815021105261217,0.3544506331578365,#7C0A02
46,40.727110015656656,-123.12604700529518,1.1670533642691416,0.1022121539624283,3.066364618872849,#FF2400
47,33.972448124223355,-117.43236637752068,0.4105263157894737,0.011257450751419994,0.33772352254259985,#FA8072
48,34.51388113125786,-118.63922492433585,2.4285714285714284,0.0015132647321158088,0.04539794196347426,#7C0A02
49,32.99710667719137,-116.47113518162799,3.0,0.01749125787583705,0.5247377362751114,#7C0A02
